_key,top/0/clientCountryAlpha2,top/0/clientCountryName,top/0/value,top/1/clientCountryAlpha2,top/1/clientCountryName,top/1/value,top/2/clientCountryAlpha2,top/2/clientCountryName,top/2/value,top/3/clientCountryAlpha2,top/3/clientCountryName,top/3/value,top/4/clientCountryAlpha2,top/4/clientCountryName,top/4/value,top/5/clientCountryAlpha2,top/5/clientCountryName,top/5/value,top/6/clientCountryAlpha2,top/6/clientCountryName,top/6/value,top/7/clientCountryAlpha2,top/7/clientCountryName,top/7/value,top/8/clientCountryAlpha2,top/8/clientCountryName,top/8/value,top/9/clientCountryAlpha2,top/9/clientCountryName,top/9/value,dateRange/startTime,dateRange/endTime,confidenceInfo
data,IN,India,57.182673,SA,Saudi Arabia,46.693661,MY,Malaysia,46.286535,LK,Sri Lanka,40.877051,VN,Viet Nam,39.758451,BE,Belgium,39.582965,GR,Greece,38.931043,UY,Uruguay,38.54315,DE,Germany,37.505421,PR,Puerto Rico,36.135147,,,
meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-25T12:30:00Z,2022-08-24T12:30:00Z,
