_key,top/0/clientCountryAlpha2,top/0/clientCountryName,top/0/value,top/1/clientCountryAlpha2,top/1/clientCountryName,top/1/value,top/2/clientCountryAlpha2,top/2/clientCountryName,top/2/value,top/3/clientCountryAlpha2,top/3/clientCountryName,top/3/value,top/4/clientCountryAlpha2,top/4/clientCountryName,top/4/value,top/5/clientCountryAlpha2,top/5/clientCountryName,top/5/value,top/6/clientCountryAlpha2,top/6/clientCountryName,top/6/value,top/7/clientCountryAlpha2,top/7/clientCountryName,top/7/value,top/8/clientCountryAlpha2,top/8/clientCountryName,top/8/value,top/9/clientCountryAlpha2,top/9/clientCountryName,top/9/value,dateRange/startTime,dateRange/endTime,confidenceInfo
data,IR,"Iran, Islamic Republic of",84.750407,SD,Sudan,82.732991,YE,Yemen,82.148008,SY,Syrian Arab Republic,81.419157,TD,Chad,81.209874,ML,Mali,79.938808,GM,Gambia,79.933771,ZM,Zambia,79.528325,CU,Cuba,78.880648,SL,Sierra Leone,78.366511,,,
meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-25T12:30:00Z,2022-08-24T12:30:00Z,
