_key,top/0/clientCountryAlpha2,top/0/clientCountryName,top/0/value,top/1/clientCountryAlpha2,top/1/clientCountryName,top/1/value,top/2/clientCountryAlpha2,top/2/clientCountryName,top/2/value,top/3/clientCountryAlpha2,top/3/clientCountryName,top/3/value,top/4/clientCountryAlpha2,top/4/clientCountryName,top/4/value,top/5/clientCountryAlpha2,top/5/clientCountryName,top/5/value,top/6/clientCountryAlpha2,top/6/clientCountryName,top/6/value,top/7/clientCountryAlpha2,top/7/clientCountryName,top/7/value,top/8/clientCountryAlpha2,top/8/clientCountryName,top/8/value,top/9/clientCountryAlpha2,top/9/clientCountryName,top/9/value,dateRange/startTime,dateRange/endTime,confidenceInfo
data,VG,British Virgin Islands,73.656647,AL,Albania,69.133662,IE,Ireland,68.389815,SG,Singapore,62.773334,SC,Seychelles,59.402439,IM,Isle of Man,59.217396,CN,China,57.835321,BW,Botswana,55.346351,FI,Finland,52.914484,HK,Hong Kong,52.803483,,,
meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-25T12:30:00Z,2022-08-24T12:30:00Z,
